GP_Index	Coord_X	Coord_Y	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
57	1.516581e+01	2.329375e+01	3.537756e-03	-2.722156e-03	-3.386215e-04	8.292908e-05	1.003929e-06	-1.766998e-06	4.983537e+01	-2.439302e-01	-3.673386e-01	2.897498e-01	-3.795079e-02	-2.057513e+01
58	1.520747e+01	2.306875e+01	3.537756e-03	-2.495884e-03	-3.386143e-04	-8.468041e-05	8.438642e-07	-1.550900e-06	5.609689e+01	7.827771e+00	3.682432e-01	-2.968034e-01	4.529373e-02	-2.630932e+01
59	1.533246e+01	2.323750e+01	3.537756e-03	-2.495884e-03	-3.386143e-04	-8.468041e-05	8.438642e-07	-1.550899e-06	5.609689e+01	7.827772e+00	3.682433e-01	-2.968034e-01	4.529373e-02	-2.630932e+01
60	1.533246e+01	2.306875e+01	3.537756e-03	-2.495884e-03	-3.386143e-04	-8.468041e-05	8.438642e-07	-1.550900e-06	5.609689e+01	7.827771e+00	3.682432e-01	-2.968034e-01	4.529373e-02	-2.630932e+01
61	1.504081e+01	2.329375e+01	3.537756e-03	-2.722128e-03	-3.386302e-04	8.275752e-05	1.186392e-06	-1.953486e-06	4.984083e+01	-2.382392e-01	-3.672354e-01	2.890581e-01	-3.722639e-02	-2.058104e+01
62	1.491582e+01	2.312500e+01	3.537756e-03	-2.722128e-03	-3.386302e-04	8.275752e-05	1.186392e-06	-1.953486e-06	4.984083e+01	-2.382399e-01	-3.672355e-01	2.890581e-01	-3.722639e-02	-2.058104e+01
63	1.491582e+01	2.329375e+01	3.537756e-03	-2.722128e-03	-3.386302e-04	8.275752e-05	1.186392e-06	-1.953486e-06	4.984083e+01	-2.382392e-01	-3.672354e-01	2.890581e-01	-3.722639e-02	-2.058104e+01
64	1.495748e+01	2.306875e+01	3.537756e-03	-2.495878e-03	-3.386215e-04	-8.483745e-05	1.003929e-06	-1.707149e-06	5.610098e+01	7.831902e+00	3.682725e-01	-2.974330e-01	4.593248e-02	-2.631382e+01
65	1.508248e+01	2.323750e+01	3.537756e-03	-2.495878e-03	-3.386215e-04	-8.483745e-05	1.003929e-06	-1.707148e-06	5.610098e+01	7.831903e+00	3.682725e-01	-2.974330e-01	4.593248e-02	-2.631382e+01
66	1.508248e+01	2.306875e+01	3.537756e-03	-2.495878e-03	-3.386215e-04	-8.483745e-05	1.003929e-06	-1.707149e-06	5.610098e+01	7.831902e+00	3.682725e-01	-2.974330e-01	4.593248e-02	-2.631382e+01
67	1.479083e+01	2.329375e+01	3.537756e-03	-2.722095e-03	-3.386410e-04	8.256037e-05	1.394902e-06	-2.173027e-06	4.984730e+01	-2.315010e-01	-3.671153e-01	2.882638e-01	-3.639803e-02	-2.058803e+01
68	1.466583e+01	2.312500e+01	3.537756e-03	-2.722095e-03	-3.386410e-04	8.256037e-05	1.394902e-06	-2.173028e-06	4.984730e+01	-2.315017e-01	-3.671153e-01	2.882638e-01	-3.639803e-02	-2.058803e+01
69	1.466583e+01	2.329375e+01	3.537756e-03	-2.722095e-03	-3.386410e-04	8.256037e-05	1.394902e-06	-2.173027e-06	4.984730e+01	-2.315010e-01	-3.671153e-01	2.882638e-01	-3.639803e-02	-2.058803e+01
70	1.470750e+01	2.306875e+01	3.537756e-03	-2.495871e-03	-3.386302e-04	-8.501773e-05	1.186392e-06	-1.891523e-06	5.610582e+01	7.836805e+00	3.683077e-01	-2.981553e-01	4.666124e-02	-2.631915e+01
71	1.483249e+01	2.323750e+01	3.537756e-03	-2.495871e-03	-3.386302e-04	-8.501773e-05	1.186392e-06	-1.891522e-06	5.610582e+01	7.836805e+00	3.683078e-01	-2.981553e-01	4.666124e-02	-2.631915e+01
72	1.483249e+01	2.306875e+01	3.537756e-03	-2.495871e-03	-3.386302e-04	-8.501773e-05	1.186392e-06	-1.891523e-06	5.610582e+01	7.836805e+00	3.683077e-01	-2.981553e-01	4.666124e-02	-2.631915e+01
73	1.454084e+01	2.329375e+01	3.537756e-03	-2.722054e-03	-3.386541e-04	8.233424e-05	1.633413e-06	-2.430300e-06	4.985491e+01	-2.235647e-01	-3.669743e-01	2.873531e-01	-3.545018e-02	-2.059625e+01
74	1.441585e+01	2.312500e+01	3.537756e-03	-2.722054e-03	-3.386541e-04	8.233424e-05	1.633413e-06	-2.430301e-06	4.985491e+01	-2.235654e-01	-3.669744e-01	2.873531e-01	-3.545018e-02	-2.059625e+01
75	1.441585e+01	2.329375e+01	3.537756e-03	-2.722054e-03	-3.386541e-04	8.233424e-05	1.633413e-06	-2.430300e-06	4.985491e+01	-2.235647e-01	-3.669743e-01	2.873531e-01	-3.545018e-02	-2.059625e+01
76	1.445751e+01	2.306875e+01	3.537756e-03	-2.495863e-03	-3.386410e-04	-8.522314e-05	1.394902e-06	-2.108293e-06	5.611152e+01	7.842576e+00	3.683448e-01	-2.989784e-01	4.749373e-02	-2.632542e+01
77	1.458251e+01	2.323750e+01	3.537756e-03	-2.495863e-03	-3.386410e-04	-8.522314e-05	1.394902e-06	-2.108293e-06	5.611152e+01	7.842576e+00	3.683448e-01	-2.989784e-01	4.749373e-02	-2.632542e+01
78	1.458251e+01	2.306875e+01	3.537756e-03	-2.495863e-03	-3.386410e-04	-8.522314e-05	1.394902e-06	-2.108293e-06	5.611152e+01	7.842576e+00	3.683448e-01	-2.989784e-01	4.749373e-02	-2.632542e+01
79	1.429086e+01	2.329375e+01	3.537756e-03	-2.722005e-03	-3.386703e-04	8.207473e-05	1.906022e-06	-2.730536e-06	4.986383e+01	-2.142563e-01	-3.668138e-01	2.863085e-01	-3.436629e-02	-2.060588e+01
80	1.416586e+01	2.312500e+01	3.537756e-03	-2.722005e-03	-3.386703e-04	8.207473e-05	1.906022e-06	-2.730537e-06	4.986383e+01	-2.142570e-01	-3.668139e-01	2.863085e-01	-3.436629e-02	-2.060588e+01
81	1.416586e+01	2.329375e+01	3.537756e-03	-2.722005e-03	-3.386703e-04	8.207473e-05	1.906022e-06	-2.730536e-06	4.986383e+01	-2.142563e-01	-3.668138e-01	2.863085e-01	-3.436629e-02	-2.060588e+01
