# per-element PLATE REACTION FORCES from the RM shell beam model (Timo), eta=0.20
# elem  y2(m) y3(m)  e11 e22 2e12 k11 k22 2k12  N11 N22 N12(N/m) M11 M22 M12(N)
    79 -9.740820e-01  1.255660e+00 -2.217396e-03  1.061478e-03 -5.089370e-04  1.743055e-03 -8.708502e-04 -1.560327e-03 -4.027276e+05 -1.158934e+01 -2.747006e+04  4.486779e+02 -3.187907e+01 -1.026489e+02
    80 -1.045006e+00  1.246967e+00 -2.211816e-03  1.058813e-03 -5.000356e-04  1.739723e-03 -8.636189e-04 -1.520334e-03 -4.017138e+05 -1.100657e+01 -2.698975e+04  4.482372e+02 -3.090139e+01 -9.996818e+01
    81 -1.115735e+00  1.235773e+00 -2.201863e-03  1.054052e-03 -5.352549e-04  1.735963e-03 -8.563468e-04 -1.521410e-03 -3.999061e+05 -1.062563e+01 -2.889201e+04  4.476076e+02 -2.989389e+01 -9.962045e+01
    82 -1.186368e+00  1.223571e+00 -2.190143e-03  1.048442e-03 -5.265949e-04  1.735747e-03 -8.508779e-04 -1.514375e-03 -3.977777e+05 -1.060684e+01 -2.842435e+04  4.477810e+02 -2.887456e+01 -9.923406e+01
    83 -1.256062e+00  1.209189e+00 -2.174509e-03  1.040966e-03 -5.594233e-04  1.721759e-03 -8.388849e-04 -1.555377e-03 -3.949375e+05 -9.680368e+00 -3.019699e+04  4.446123e+02 -2.783861e+01 -1.016979e+02
    84 -1.325504e+00  1.192014e+00 -2.153984e-03  1.031142e-03 -5.534340e-04  1.717724e-03 -8.319519e-04 -1.550105e-03 -3.912101e+05 -9.470203e+00 -2.987356e+04  4.437005e+02 -2.676977e+01 -1.014024e+02
    85 -1.394626e+00  1.173847e+00 -2.131694e-03  1.020473e-03 -5.846725e-04  1.712979e-03 -8.247588e-04 -1.592453e-03 -3.871619e+05 -9.240842e+00 -3.156031e+04  4.425836e+02 -2.569205e+01 -1.039791e+02
    86 -1.462502e+00  1.152899e+00 -2.104401e-03  1.007417e-03 -5.767646e-04  1.686387e-03 -8.071568e-04 -1.566347e-03 -3.822042e+05 -8.170472e+00 -3.113350e+04  4.361909e+02 -2.459371e+01 -1.022544e+02
    87 -1.529886e+00  1.129463e+00 -2.072716e-03  9.922467e-04 -6.110043e-04  1.685666e-03 -8.024008e-04 -1.575558e-03 -3.764500e+05 -8.144875e+00 -3.298275e+04  4.358292e+02 -2.346931e+01 -1.024855e+02
    88 -1.596374e+00  1.104188e+00 -2.037714e-03  9.754981e-04 -5.994665e-04  1.658234e-03 -7.847700e-04 -1.535248e-03 -3.700926e+05 -7.253986e+00 -3.236005e+04  4.290765e+02 -2.233217e+01 -9.981432e+01
    89 -1.661703e+00  1.075955e+00 -1.997415e-03  9.562090e-04 -6.353874e-04  1.639449e-03 -7.716472e-04 -1.539446e-03 -3.627734e+05 -6.712652e+00 -3.430017e+04  4.242573e+02 -2.117108e+01 -9.967575e+01
    90 -1.726152e+00  1.045984e+00 -1.953976e-03  9.354148e-04 -6.230236e-04  1.626123e-03 -7.613753e-04 -1.505387e-03 -3.548844e+05 -6.352925e+00 -3.363278e+04  4.206621e+02 -1.999832e+01 -9.745023e+01
    91 -1.788791e+00  1.012986e+00 -1.905032e-03  9.119954e-04 -6.567774e-04  1.572909e-03 -7.319352e-04 -1.530547e-03 -3.459941e+05 -5.059224e+00 -3.545560e+04  4.075087e+02 -1.880867e+01 -9.879879e+01
    92 -1.850167e+00  9.774905e-01 -1.851577e-03  8.864011e-04 -6.471095e-04  1.571292e-03 -7.279894e-04 -1.511519e-03 -3.362866e+05 -5.022721e+00 -3.493364e+04  4.064661e+02 -1.760227e+01 -9.758855e+01
