GP_Index	Coord_X	Coord_Y	Eps_xx	Eps_yy	Eps_zz	Eps_yz	Eps_xz	Eps_xy	Sig_xx	Sig_yy	Sig_zz	Sig_yz	Sig_xz	Sig_xy
53	1.558245e+01	2.323750e+01	2.333750e-01	-1.844166e-01	-1.302748e-02	-1.106771e-03	-4.921308e-03	-3.101560e-03	3.259313e+03	-8.301901e+01	4.450080e+01	-1.413043e+00	-1.667119e+01	-1.322379e+03
54	1.558245e+01	2.306875e+01	2.316875e-01	-1.844166e-01	-1.302748e-02	-1.106771e-03	-4.921308e-03	-3.101560e-03	3.199075e+03	-1.297570e+02	3.901465e+01	-1.413043e+00	-1.667119e+01	-1.279570e+03
55	1.529080e+01	2.329375e+01	2.339375e-01	-2.108194e-01	-1.251823e-02	1.570914e-02	-3.888509e-03	-3.770008e-03	2.566736e+03	-9.913196e+02	-3.464051e+01	5.692625e+01	-2.146435e+01	-6.857808e+02
56	1.516581e+01	2.312500e+01	2.322500e-01	-2.108194e-01	-1.251823e-02	1.570914e-02	-3.888509e-03	-3.770008e-03	2.506498e+03	-1.038058e+03	-4.012665e+01	5.692625e+01	-2.146435e+01	-6.429713e+02
57	1.516581e+01	2.329375e+01	2.339375e-01	-2.108194e-01	-1.251823e-02	1.570914e-02	-3.888509e-03	-3.770008e-03	2.566736e+03	-9.913196e+02	-3.464051e+01	5.692625e+01	-2.146435e+01	-6.857808e+02
58	1.520747e+01	2.306875e+01	2.316875e-01	-1.849328e-01	-1.271777e-02	-3.195631e-03	-4.444792e-03	-3.018984e-03	3.183688e+03	-1.492747e+02	4.005794e+01	-8.962311e+00	-1.395896e+01	-1.264314e+03
59	1.533246e+01	2.323750e+01	2.333750e-01	-1.849328e-01	-1.271777e-02	-3.195631e-03	-4.444792e-03	-3.018984e-03	3.243926e+03	-1.025367e+02	4.554408e+01	-8.962311e+00	-1.395896e+01	-1.307124e+03
60	1.533246e+01	2.306875e+01	2.316875e-01	-1.849328e-01	-1.271777e-02	-3.195631e-03	-4.444792e-03	-3.018984e-03	3.183688e+03	-1.492747e+02	4.005794e+01	-8.962311e+00	-1.395896e+01	-1.264314e+03
61	1.504081e+01	2.329375e+01	2.339375e-01	-2.115842e-01	-1.238746e-02	1.454040e-02	-3.343889e-03	-3.595317e-03	2.541547e+03	-1.022627e+03	-3.604584e+01	5.256333e+01	-1.897381e+01	-6.615582e+02
62	1.491582e+01	2.312500e+01	2.322500e-01	-2.115842e-01	-1.238746e-02	1.454040e-02	-3.343889e-03	-3.595317e-03	2.481309e+03	-1.069365e+03	-4.153198e+01	5.256333e+01	-1.897381e+01	-6.187487e+02
